Verse_number,vagga,verse_en,verse_sn,meaning_en,meaning_sn
219,,"Cirappavásií purisaí  dúrato sotthim ágataí, ñátimittá suhajjá ca,  abhinandanti ágataí.","චිරප්පවාසිං පුරිසං
දූරතො සොත්ථීමාගතං
ඤාතිමිත්තා සුහජ්ජා ච
අභිනන්දන්ති ආගතං","When, after a long absence, a man safely returns home from afar, his relatives, friends, and well-wishers welcome him home on arrival. 11",බොහෝ කලක් මුළුල්ලේ ස්වකීය ඥාතීන්ගෙන් වෙන් ව දුර රටකට ගොස් සිට සුවසේ ආපසු පැමිණි මිනිසෙකු දැක නෑයෝ ද මිත්‍රයෝ ද හිතවත්තු ද ප්‍රීතියට පත් වෙති.
220,,"Tath’eva katapuññam pi  asmá loká paraí gataí, puññáni paþigaóhanti  piyaí ñátií va ágataí.","තථෙව කතපඤ්ඤම්පි
අස්මා ලෝකා පරං ගතං
පුඤ්ඤානි පතිගණ්හන්ති
පියං ඤාතිං ව ආගතං,","As relatives welcome a dear one on arrival, even so his own good deeds will welcome the doer of good who has gone from this world to the next. 12","මෙ ලොවින් පරලොව ගිය, පින් කළ පුද්ගලයා (දුර සිට) පැමිණි ප්‍රිය ඥාතියෙකු මෙන් (ඔහු ගේ ම) පින් ඉදිරියට ඇවිත් පිළිගනිත්."
221,Kodhavagga Anger,"Kodhaí jahe vippajaheyya mánaí,  saññojanaí sabbam atikkameyya; taí námarúpasmií asajjamánaí  akiñcanaí nánupatanti dukkhá.","කෝධං ජහේ, විප්පජහෙය්‍ය මානං,
සංයෝජනං සබ්බමතික්කමෙය්‍ය
තං නාමරූපස්මිං අසජ්ජමානං
අකිංචනං නානුපත්තති දුක්ඛා,","One should give up anger, renounce pride, and over- come all fetters. Suffering never befalls him who clings not to mind and body and is detached. 1","ක්‍රෝධය දුරු කරන්නේ, මානය විශේෂයෙන් පහ කරන්නේ,
කාම බැමි ආදී සියලූ සාංසාරික බැමි ඉකුත් කරන්නේ,
නාම රූප දෙක්හී නො ඇලෙන, කෙලෙස් කරදර නැති
ඒ පුද්ගලයා කරා දුක් නො පැමිණෙති.
"
222,Kodhavagga Anger,"Yo ve uppatitaí kodhaí  rathaí bhantaí va dháraye, tam ahaí sárathií brúmi,  rasmiggáho itaro jano.","යෝ වේ උප්පතිතං කෝධං
රථං භන්තංව ධාරයේ,
තම්හං සාරථීං බ්‍රෑමි,
රසමිග්ගාහෝ ඉතරෝ ජනෝ.","One who checks rising anger as a charioteer checks a rolling chariot, him I call a true charioteer; others only hold the reins.   2","දක්ෂ රථාචාර්යයකු නොමග ගිය රථයක් හසුරුවා ගන්නා සේ
යමෙක් තමා තුළ හට ගත් ක්‍රෝධය,  හික්මවා ගනී ද,
ඒ පුද්ගලයා නියම රියදුරෙකැයි කියමි.
එ සේ සිත හික්මවා ගත නොහැකි පුද්ගලයා
නිකමට තෝන් ලනුව අල්ලන්නෙකැ යි කියමි."
223,Kodhavagga Anger,"Akkodhena jine kodhaí,  asádhuí sádhuná jine, jine kadariyaí dánena,  saccena alikavádinaí.","අක්කෝධේන ජිනේ කෝධං
අසාධුං සාධුනා ජිනේ
ජිනේ කදරියං දානේන
සච්චේන අලිකවාදිනං.",Overcome the angry by non-anger; overcome the wicked by goodness; overcome the miser by generosity; overcome the liar by truth. 3,"ක්‍රෝධ කරන පුද්ගලයාට ක්‍රෝධ නො කිරීමෙන් ඔහු පැරදවිය හැකිය., හෙවත් ක්‍රෝධ නො කිරීමෙන් ක්‍රෝධය ජය ගතහැකිය.
අසත්පුරුෂයා සත්පුරුෂ ගුණයෙන් පැරදවිය යුතු.
තද මසුරා යම් යම් දේ දීමෙන් ජය ගත හැකිය.
බොරු කියන්නා ඇත්ත කීමෙන් පැරදවිය හැකිය"
224,Kodhavagga Anger,"Saccaí bhaóe na kujjheyya,  dajjá appasmim pi yácito, etehi tìhi þhánehi  gacche devána santike.","සච්චං භණේ න කුජ්ඣෙය්‍ය
දජ්ජාපපස්මිංපි යාචිතෝ
එතේහි තීහි ඨානේහි
ගච්ඡේ දෙවානසන්තිකේ. ",Speak the truth; do not give way to anger; give of your little to him that asks of you; by these three things one may go to the realm of gods. 4 Anger 77,"ඇත්ත කියන්න. අනුන්ට නොකිපෙන්න.
අනුන් ඉල්ලු කල් හී දිය යුතු ය.
මේ කරුණු තුන පිළිපැදීමෙන් දෙවියන් සමීපයට යා හැකි ය
හෙවත් දෙව්ලොව ඉපදිය හැක.
"
225,Kodhavagga Anger,"Ahiísaká ye munayo,  niccaí káyena saívutá, te yanti accutaí þhánaí,  yattha gantvá na socare.","අහිංසකා යේ මුනයෝ
නිච්චං කායේන සංවුතා
තෙ යන්ති අච්චුතං ඨානං,
යත‍්ථ ගන්ත‍වා න සෝචරේ.","Those sages who are inoffe nsive and ever restrained in body, go to the deathless state, where they grieve no more. 5","නිතර කායාදී දොරටු තුනෙන් සංවරයට පැමිණි
අනුන්ට හිංසා නො කරන්නා වූ යම් ශ්‍රමණ කෙනෙක් වෙත් නම්,
ඔවුහූ යම් තැනකට ගියෝ ශෝක නො කෙරෙත් නම්,
ඒ ච්‍යුතවී යාමක් නැති නිවන ට පැමිණෙත්."
226,Kodhavagga Anger,"Sadá jágaramánánaí,  ahorattánusikkhinaí, nibbánaí adhimuttánaí,  atthaí gacchanti ásavá.","සදා ජාගරමානානං
අහෝරත්තානු සික‍්ඛිනං
නිබ්බාණං අධිමුත්තානං
අත‍්ථං ගචඡන්ති ආසවා.","Those who are ever vigilant, who discipline themselves day and night, ever intent u pon Nibbána—their cankers fade away. 6","කෙලෙස් නිදි නැති බැවින් හැම කල් හි ම පිබිද සිටින්නා වූ
දිවා රෑ දෙකෙ හි ශික්ෂා පිරීමෙ හි යෙදී සිටින්නා වූ
නිවනෙහි නියැලී සිතැති භාවනානුයෝගීන් ගේ
කාමාදී ආශ්‍රවයෝ විනාශයට යෙත්.
"
227,Kodhavagga Anger,"Poráóam etaí Atula  n’etaí ajjatanám iva, nindanti tuóhim ásìnaí,  nindanti bahubháóinaí, mitabháóinam pi nindanti,  natthi loke anindito.","පොරාණමේතං අතුල,
නේතං අජ්ජතනාමිව
නින‍්දන්ති තුණ්හීමාසීනං
නින‍්දන්ති බහුභාණිනං
මිතභාණිම්පි නින‍්දන්ති
නත‍්ථී ලෝකේ අනින‍්දිතෝ.","O Atula! Indeed, this is an old pattern, not one only of today: they blame one who remains silent, they blame one who speaks much, they blame one who speaks in moderation.","පොරාණමේතං අතුල,
නේතං අජ්ජතනාමිව
නින‍්දන්ති තුණ්හීමාසීනං
නින‍්දන්ති බහුභාණිනං
මිතභාණිම්පි නින‍්දන්ති
නත‍්ථී ලෝකේ අනින‍්දිතෝ."
228,Kodhavagga Anger,"Na c’áhu na ca bhavissati,  na c’etarahi vijjati, ekantaí nindito poso,  ekantaí vá pasaísito.","න චාහු, න ච භවිස්සති,
න චේ තරහි විජ්ජති
ඒකන්තං නින‍්දිතෝ පෝසෝ,
ඒකන්තං වා පසංසිතෝ.","There never was, there never will be, nor is there now, a person who is wholly blamed or wholly praised. 8","ඒකාන්තයෙන් හෙවත් හැම කල් හි නින්දා ලබන පුද්ගලයෙක් හෝ
හැම කල් හී ප්‍රශංසා ලබන පුද්ගලයෙක් පෙර ද නො වී ය,
අනාගතයෙ හි ත් නො වන්නේ ය, දැනුත් විද්‍යාමාන නො වේ."
229,Kodhavagga Anger,Yañ ce viññú pasaísanti  anuvicca suve suve acchiddavuttií medhávií  paññásìlasamáhitaí—,"යං චේ විඤ්ඤු පසංසන්ති
අනුවිච්ච සුවේ සුවේ,
අච්ඡිද්දවුත්තිං මෙධාවිං
පඤ්ඤාසීලසමාහිතං.","229–230. But as to the person whom the wise praise after observing him day after day, one of flawless character, wise, and endowed with knowledge and virtue—who can blame such a one, as worthy as a coin of refined gold? Even the gods praise him; by Brahmá, too, is he praised. 9–1078 Kodhavagga","කැඩී බිදී ගිය සිල් නැති බැවින් සිදුරු රහිත පැවතුම් ඇති
භාවනා ප්‍රඥාවෙන් හා චතුපාරිශුද්ධි ශීලයෙන් යුක්ත වූ යමෙකුට
දිනපතා විමසා බලා ප්‍රශංසා කෙරෙත්.
"
230,Kodhavagga Anger,"Nekkhaí jambonadasseva  ko taí ninditum arahati? devá pi taí pasaísanti,  Brahmuná pi pasaísito. ","නෙක්ඛං ජම්බෝනදස්සේව
කෝ තං නින‍්දිතුමරහති?
දෙවාපි නං පසංසන්ති,
බ්‍රහ්මුනාපි පසංසීතො,","229–230. But as to the person whom the wise praise after observing him day after day, one of flawless character, wise, and endowed with knowledge and virtue—who can blame such a one, as worthy as a coin of refined gold? Even the gods praise him; by Brahmá, too, is he praised. 9–1078 Kodhavagga","ජම්මු ගංගා පෙදෙසෙහි හට ගත් රන් කාසියක් වැනි
(දොස් රහිත) ඔහුට කවරෙක් නින්දා කරන්ට සමර්ථ වේ ද?
දෙවිවරුත් ඔහුට පසසත්,
බ්‍රහ්මයා විසිනුත් හෙතෙම පසස්නා ලදී."
231,Kodhavagga Anger,"Káyappakopaí rakkheyya,  káyena saívuto siyá, káyaduccaritaí hitvá  káyena sucaritaí care.","කායප්පකෝපං රක්ඛෙය්‍ය,
කායේන සංවුතෝ සියා
කායදුච්චරිතං හිත‍්වා
කායේන සුචරිතං චරේ.","One should guard oneself against irritability in bodily action; one should be controll ed in deed. Having abandoned bodily misconduct, one should practise good conduct in deed. 11","කයින් කරන ප්‍රාණවධාදී පව්කම් දුරු කරන්නේ ය,
කයින් සංවර ඇත්තෙක් වන්නේ ය.
කාය දුශ්චරිතය (සතුන් මැරීම, සොරකම, කාම මිථ්‍යාචාරය යන තුන) අත්හැර කයින් සුචරිතයෙ හි හැසිරෙන්නේ ය."
232,Kodhavagga Anger,"Vacìpakopaí rakkheyya,  vácáya saívuto siyá, vacìduccaritaí hitvá  vácáya sucaritaí care.","වචීපකෝපං රක්ඛෙය්‍ය,
වාචාය සංවුතෝ සියා
වචීදුච්චරිතං හිත‍්වා
වාචාය සුචරිතං චරේ.","One should guard oneself ag ainst irritability in speech; one should be controlled in speech. Having abandoned verbal misconduct, one should practise good conduct in speech. 12","වචනයෙන් සිදුවන බොරු කීම ආදි පවින් වැළකෙන්නේ ය,
වචනයෙන් සංවරයට පැමිණෙන්නේ ය,
වාග්දුශ්චරිතය දුරු කොට
බොරු නො කීම ආදී වාග් සුචරිතයෙහි හැසිරෙන්නේ ය."
233,Kodhavagga Anger,"Manopakopaí rakkheyya,  manasá saívuto siyá, manoduccaritaí hitvá  manasá sucaritaí care.","මනෝපකෝපං රක්ඛෙය්‍ය,
මනසා සංවුතෝ සියා
මනෝදුච්චරිතං හිත‍්වා
මනසා සුචරිතං චරේ.","One should guard oneself agai nst irritability in thought; one should be controlled in thought. Having abandoned mental misconduct, one should  practise good conduct in thought. 13","සිතට වැදගන්නා ඊර්ෂ්‍යා මානාදිය දුරු කරන්නේ ය.
සිතින් සංවරයට පැමිණෙන්නේ ය.
(පවිටු සිතුවිලිවල ට ඉඩ නො දීම සිත සංවර කිරීම යි)
දැඩි ලෝභය ආදී මනෝදුශ්චරිතය දුරු කොට
සිතින් සුචරිතයෙ හි හැසිරෙන්නේ ය."
234,Malavagga Impurity,Káyena saívutá dhìrá  atho vácáya saívutá manasá saívutá dhìrá  te ve suparisaívutá.,"කායේන සංවුතා ධීරා
අථෝ වාචාය සංවුතා,
මනසා සංවුතා ධීරා
තේ වේ සුපරිසංවුතා.","The wise are controlled in bodily deeds, controlled in speech, and controlled in thought. They are truly well controlled. 147918","යම් පණ්ඩිත කෙනෙක් කයින් (දුශ්චරිත නො කිරීමෙන්) සංවරයට පැමිණියාහු ද, වචනයෙන් සංවරයට පැමිණියාහු ද , සිතින් සංවරයට පැමිණියාහු ද, ඔවුහූ ඒකාන්තයෙන් මනා සංවරයට පැමිණියාහු වෙති."
235,Malavagga Impurity,"Paóðupaláso va dáni’si,  yamapurisá pi ca tam upaþþhitá, uyyogamukhe ca tiþþhasi,  pátheyyam pi ca te na vijjati.","පණ්ඩුපලාසොව දානිසි
යමපුරිසාපි ච තං උපට්ඨිතා
උය්‍යොගමුඛෙ ච තිට්ඨසි
පාථෙය්‍යම්පි ච තෙ න විජ්ජති.","Like a withered leaf are you now; death’s messengers are waiting for you. You stand on the eve of your departure, yet you have made no provision for your journey! 1","ඔබ  දැන් පඬුවන් වී ගිය කොළයක් මෙන් ජරාවට පැමිණියෙහි, යමදූතයෝත් (මැරෙන ලකුණුත්)ඔබ වෙත පැමිණ ඇත.
ඔබ පිරිහීමේ කෙළවරට පැමිණ සිටින්නෙහි.
ඔබට ඉදිරි (පරලොව) ගමනට අවශ්‍ය..
..කුසල් නම් මාර්ගෝපකරණ ද නැත."
236,Malavagga Impurity,"So karohi dìpam attano,  khippaí váyama paóðito bhava; niddhantamalo anaògaóo  dibbaí ariyabhúmim ehisi.","සො කරොහි දීපමත්තනො
ඛිප්පං වායම පණ්ඩිතො භව
නිද්ධන්තමලො අනංගනො
දිබ්බං අරියභූමිමෙහිසි.","Make an island for yourself! Strive hard and become wise! Rid of impurities and cleansed of stain, you shall enter the celestial abode of the noble ones. 2","තමාට තමාම  පිහිටක් කර ගනුව,
වහා උත්සාහ කොට නුවණැත්තෙක් වෙව.
(එසේ කිරීමෙන්) කෙලෙස් මළ දුරු කොට
නොකිලිටි තැනැත්තෙක් ව
දිව්‍යමය වූ ආර්ය භූමියට පැමිණෙව."
237,Malavagga Impurity,"Upanìtavayo va dáni’si,  sampayáto’si Yamassa santike, váso pi ca te natthi antará,  pátheyyam pi ca te na vijjati.","උපනීතවයො ච දානිසි
සම්පයාතොසි යමස්ස සන්තිකං
වාසොපි ච තෙ නත‍්ථී අන්තරා
පාථෙය්‍යම්පි ච තෙ න විජ්ජති.","Your life has come to an end now; you are setting forth into the presence of Yama, the King of Death. No resting place is there for you on the way, yet you have made no provision for your journey! 3","ඔබ දැන් වයස් ගත වුවෙක්ය.
මරණය සමීපයට පැමිණ ඇත,
ඔබට අතරමග නවතින්නට තැනක් ද නැත.
(කුසල් නම්) මාර්ගොපකරණ ද නැත.
"
238,Malavagga Impurity,"So karohi dìpam attano,  khippaí váyama paóðito bhava; niddhantamalo anaògaóo  na puna játijaraí upehisi.","සො කරොහි දීපමත්තනො
ඛිප්පං වායාම පණ්ඩිතො භව
නිද්ධන්තමලො අනංගණො
න පුන ජාතිජරං උපෙහිසි.","Make an island for yourself! Strive hard and become wise! Rid of impurities and cleansed of stain, you shall not come again to birth and decay. 480 Malavagga","තමාට තමාම  පිහිටක් කර ගනුව,
වහා උත්සාහ කොට නුවණැත්තෙක් වෙව.
කෙලෙස් මල දුරු කොට
අකිලූටු, නික්ලේශියෙක් ව
නැවතත්  ඉපදීමකට හා ජරාවට නො පැමිණෙව, "
239,Malavagga Impurity,Anupubbena medhávì  thokathokaí khaóe khaóe kammáro rajatasseva  niddhame malam attano.,"අනුපුබ්බෙන මෙධාවී
ථොකථොකං ඛණෙ ඛණෙ
කමමාරො රජතස්සෙව
නිද්ධමේ මලමත්තනො.","One by one, little by little, moment by moment, a wise man should remove his own impurities, as a smith removes the dross of silver. 5","රන් රිදී වැඩ කරන්නා
පිළිවෙලින් ටිකෙන් ටික
රිදියේ ඇති මළහරින්නා සේ
නුවණැත්තා තමා ගේ කෙලෙස් කිලූටු
මොහොතක් පාසා ටිකෙන් ටික
ක්‍රම ක්‍රමයෙන් දුරු කරන්නේ ය."
240,Malavagga Impurity,"Ayasá va malaí samuþþhitaí,  taduþþháya tam eva khádati, evaí atidhonacárinaí  sakakammáni nayanti duggatií.","අයසාව මලං සමුට්ඨිතං
තදුට්ඨාය තමෙව ඛාදති,තදුට්ඨාය තමෙව ඛාදති,
එවං අතිධොනචාරිනං
සකකමමානි නයනති දුග්ගතිං.","Just as rust arising from  iron eats away the base from which it has arisen, even so their own deeds lead transgres- sors to a state of woe. 6","යකඩයෙන් හටගත් මළය,
යකඩයෙන්ම නැගී යකඩයම කා දමන්නා සේ
යෝනිසෝ මනසිකාරයෙන්වි තොර ව වසන්නා,
ඔහුගේම කර්මයෝ විසින්  දුගතියට පමුණුවත්."
241,Malavagga Impurity,"Asajjháyamalá mantá,  anuþþhánamalá ghará, malaí vaóóassa kosajjaí,  pamádo rakkhato malaí.","අසජ්ඣායමලා මන්තා
අනුට්ඨානමලා ඝරා
මලං වණ්ණස්ස කොසජ්ජං
පමාදෝ රක්ඛතෝ මලං.",Non-repetition is the bane of scriptures; neglect is the bane of a home; slovenliness is the bane of personal appear-ance; heedlessness is the bane of a watchman.  7,"හදාළ ශාස්ත්‍ර නැවත නො හැදෑරීම ශිෂ්‍යයාට මලයකි.
ඇවැසි කල පිළිසකර නොකිරීමෙන් ගේ දොර මලයට (කිලුටට) පත්වේ. අලසබව නිසා (නා පිරිසිදුවීම ආදිය නොකිරීම) කුසීත බව ශරීරයේ පැහැපත්ව බව පවිත්‍රත්වයට මලයකි, කිලූටකි. වතුපිටි ආදියක්  රක්නහුට (ඒ ගැන නො සලකා) ප්‍රමාද වීම මලයකි. කිලූටකි.
"
242,Malavagga Impurity,"Malitthiyá duccaritaí,  maccheraí dadato malaí malá ve pápaká dhammá  asmií loke paramhi ca.","මලිත‍්ථීයා දුච්චරිතං
මච්ඡෙරං දදතො මලං
මලා වෙ පාපකා ධම්මා
අස්මිං ලෝකෙ පරම්හි ච.","Unchastity is the taint in  a woman; niggardliness is the taint in a giver. Taints, indeed , are evil things, both in this world and the next. 8","දුශ්චරිතයෙහි හැසිරීම ස්ත්‍රියට මලයකි. කිලූටකි.
දන් දෙන්නාට මසුරුකම මලයකි.
අකුසල ධර්මයෝ මෙලොව් හි ද පරලොව් හි ද
ඒකාන්තයෙන් කිලූටු වෙති. මලයකි."
243,Malavagga Impurity,"Tato malá malataraí  avijjá paramaí malaí, etaí malaí pahatvána  nimmalá hotha bhikkhavo.","තතො මලා මලතරං
අවිජ්ජා පරමං මලං
එතං මලං පහත‍්වාන
නිම්මලා හොථ භික්ඛවො.","A worse taint than these is ignorance, the worst of all taints. Destroy this one taint and become taintless, O monks! 9","ඒ හැම කිලූටු (මල) වලට වඩා බලවත් (මලයක්) කිලූටක් ඇත. අවිද්‍යාව හැම කිලූටුකම ම  ඉක්මවා සිටින කිලූටකි. මහණෙනි, ඒ මලය දුරු කොට කිලූටු නැත්තෝ වව්.
"
244,Malavagga Impurity,Sujìvaí ahirikena  kákasúrena dhaísiná pakkhandiná pagabbhena  saòkiliþþhena jìvitaí.,"සුජීවං අහිරීකෙන
කාකසුරෙන ධංසිනා
පක්ඛන‍දිනා පගබ්භෙන
සංකිලිට්ඨෙන ජීවිතං.","Easy is life for the shameless one who is as impudent as a crow, back-biting and forward, arrogant and corrupt. 10Impurity 81","ලැජ්ජා භය නැත්තා වූද, කවුඩකු මෙන් ගසා කෑමෙහි දක්ෂවූද,
අනුන් ගුණ මකන්නා වූ ද, තමාට අයිති නැති වැඩට පනින්නාවූ ද,
උඩඟු ස්වභාව ඇති, කිලිටි ජීවිතයක් ඇතිව ජීවත් වීම පහසු ය."
245,Malavagga Impurity,Hirìmatá ca dujjìvaí  niccaí sucigavesiná alìnen’appagabbhena  suddhájìvena passatá.,"හිරීමතා ච දුජ්ජීවං
නිච්චං සුචිගවෙසිනා
අලීනෙනප්පගබ්භෙන
සුදධාජීවෙන පස්සතා","Difficult is life for the modest one who always seeks purity, who is detached and unassuming, clean in life, and discerning. 11","පව් කිරීමට භය හා ලැජ්ජා ඇතිව,
නිතර පිරිසිදු ක්‍රියා කිරීමට සොයමින්,
කුශල ක්‍රියාවෙහි යෙදෙමින්,
උඩගු බවක් නැතිව , පිරිසිදු ජීවිතයක් ඇතිව
දුරදිග බලා ජීවත් වීම අපහසු ය."
246,Malavagga Impurity,"Yo páóam atipáteti,  musávádañ ca bhásati, loke adinnaí ádiyati,  paradárañ ca gacchati.","යො පාණමතිපාතෙති,
මුසාවාදං ච භාසති
ලොකෙ අදින්නං ආදියති,
පරදාරං ච ගච්ඡති,"," 246–247. One who destroys life, utters lies, takes what is not given, goes to another man’s wife, and is addicted to intoxi- cating drinks—such a man digs up his own root even in this very world. 12–13",
247,Malavagga Impurity,"Surámerayapánañ ca  yo naro anuyuñjati, idh’eva-m-eso lokasmií  múlaí khaóati attano.","සුරාමෙරය පානං ච
යො නරො අනුයුඤජති,
ඉධෙව මෙසො ලෝකස්මිං
මූලං ඛණති අත්තනො."," 246–247. One who destroys life, utters lies, takes what is not given, goes to another man’s wife, and is addicted to intoxi- cating drinks—such a man digs up his own root even in this very world. 12–13","යමෙකු පර පණ නසයිද, බොරු කියයිද, නොදුන් දෙය ගනී ද, පර අඹුවන් කරා යේ ද, මත්පැන් බීමෙ හි යෙදේ ද, ඒ පුද්ගලයා මෙලොවදී ම තමා ගේ සම්පත් නැමැති මූලය සාරාගනී."
248,Malavagga Impurity,Evaí bho purisa jánáhi:  pápadhammá asaññatá; má taí lobho adhammo ca  ciraí dukkháya randhayuí.,"එවං භො පුරිස, ජානාහි
පාපධමමා අසඤ්ඤතා
මා තං ලොභො අධම්මො ච
චිරං දුකඛාය රන‍්ධයුං.","Know this, good man: those of evil character are uncon- trolled. Let not greed and wickedness drag you to protracted misery. 14","පින්වත් පුරුෂය, මෙසේ දැනගනුව.
අකුසල ධර්මයෝ අසඥ වෙයි.
ලෝභ සිතුවිලි හා නොදැමුණු සිතිවිලි වලට මුල්වූ
එබඳු සිත් බොහෝ කල් දුක් දෙන
නිරා දුකට ඔබ පමුණුවන හෙයින්
එබඳු සිත් දුරු කරත්වා.
"
249,Malavagga Impurity,"Dadáti ve yathásaddhaí  yathápasádanaí jano, tattha yo maòku bhavati  paresaí pánabhojane, na so divá vá rattií vá  samádhií adhigacchati.","දදාතී වෙ යථාසද්ධං
යථාපසාදනං ජනො,
තත‍්ථ වෙ මංකු යො හොති
ඵරෙසං පානභොජනෙ,
න සො දිවා වා රත්තිං වා
සමාධිං අධිගච්ඡති.","People give according to their faith, according to their trust. If one becomes disconte nted with the food and drink given by others, one does not attain meditative absorption, either by day or by night. 15","මහජනයා තම තමන්ට ශ්‍රද්ධාව ඇති පමණින්,
තමන්ගේ පැහැදීම ඇති පමණින් දන් දෙයි,
එබඳු දනක් ගැන නොපහන් වන, නොසතුටු වන භික්‍ෂුව
දාවල් හි හෝ රාත්‍රියෙහි සිතේ එකග බව (සමාධිය) නො ලබයි."
250,Malavagga Impurity,"Yassa c’etaí samucchinnaí  múlaghaccaí samúhataí, sa ve divá vá rattií vá  samádhií adhigacchati.","යස්ස චෙතං සමුචඡින්නං
මූලඝච්චං සමූහතං,
ස වෙ දිවා වා රත්තිං වා
සමාධිං අධිගච්ඡති.","But he in whom this (discontent) is fully destroyed, uprooted and extinct, he attains absorption, whether by day or by night. 1682 Malavagga","යමකු විසින් මේ (ලත් දානයෙහි, භෝජනයෙහි) නොසතුටුවීම (මූණ හකුලා ගැනීම) සහමුලින්ම  සිඳ දමන ලද්දේ ද, මුල් සහිතව උදුරා දමන ලද්දේ ද, හෙතෙම දාවල් හී හෝ රාත්‍රියෙහි සමාධිය ලබයි. (සිතේ එකග බව ලබයි.)"
251,Malavagga Impurity,"Natthi rágasamo aggi,  natthi dosasamo gaho, natthi mohasamaí jálaí,  natthi taóhásamá nadì.","නත‍්ථී රාග සමො අග්ගි,
නත‍්ථී දොස සමො ගහො,
නත‍්ථී මොහ සමං ජාලං,
නත‍්ථී තණ්හා සමා නදී.",There is no fire like lust; there is no grip like hatred; there is no net like delusion; there is no river like craving. 17,"රාග ගින්නට සමාන ගින්නක් නැත. ද්වේෂයට සමාන දැඩි අල්ලා ගැනීමක් නැත. මෝහය වැනි අවුල් ජාලයක් (දැලක්) නැත. තෘෂ්ණාව වැනි ගංගාවක් නැත, (දැඩි අල්ලා ගැනීම නම් බද්ධ වෛරයයි. දැලකට අසු වූ සත්ත්වයන් මැරෙන්නේ එක් වරකි. තෘෂ්ණා නමැති දැලට අසුවූවෝ එයින් මිදෙන තුරු අනන්ත වාරයක් මේ සසර ගමන නිම කරන තුරු මරණයට පත් වෙති)"
252,Malavagga Impurity,"Sudassaí vajjaí aññesaí,  attano pana duddasaí, paresaí hi so vajjáni,  opuóáti yathábhusaí; attano pana chádeti,  kalií va kitavá saþho.","සුදස්සං වජ්ජං අඤේඤෙසං,
අත්තනො පන දුද්දසං
පරෙසං හි සො වජ්ජානි
ඔපුණාති යථා භූසං
අත්තනො පන ඡාදෙති
කලිං ව කිතවා සඨො.","Easily seen are the faults of others, but one’s own are difficult to see. Like chaff one winnows another’s faults but hides one’s own, even as a crafty fowler hides behind sham branches. 18","අනුන්ගේ දොස් දැකීම පහසු ය. තමා ගේ දොස් දැකීම අපහසු ය. මෙතෙම අනුන් ගේ දොස් බොල් වී සුළඟේ පහකර හරින්නා සේ නගා පෙන්වයි. කපටි ලිහිණි වැද්දෙකු කොළ අතු ආදිය ඇඳගෙන තමා සඟවා ගන්නා සේ තමා ගේ වරද සඟවා ගනී.
"
253,Malavagga Impurity,"Paravajjánupassissa,  niccaí ujjhánasaññino, ásavá tassa vaððhanti,  árá so ásavakkhayá.","පරවජ්ජානු පස්සිස්ස
නිච්චං උජ්ඣාන සඤඤිනො
ආසවා තස්ස වඩඪන්ති
ආරා සො ආසවක්ඛයා","He who seeks another’s faults, who is ever censorious— his cankers grow. He is far from the destruction of the cankers. 19","නිතර අනුන් ගේ දොස් සොයන්නා වූ, දොස් සොයා
ඇද කුද කියන්නා වූ ඒ පුද්ගලයාගේ ආශ්‍රවයෝ වැඩෙත්.
හෙතෙම කාමාදී ආශ්‍රවයන් ක්ෂය කිරීමෙන් ඉතා දුර ය.
"
254,Malavagga Impurity,"Ákáse padaí natthi,  samaóo natthi báhire, papañcábhiratá pajá,  nippapañcá Tathágatá.","ආකාසෙ පදං නත‍්ථී
සමණො නත‍්ථී බාහිරෙ
පපංචාභිරතා පජා,
නිප්පපඤචා තථාගතා.","There is no track in the s ky, and no recluse outside (the","අහසෙහි පියවර නැත. පිටත පෙනුමෙන් (හිස මුඩු කොට, සිවුරු ඇඳි පමණින්) යමෙකු ශ්‍රමණයෙකු නොවේ. සංඛත කිසිදු  ධර්මයක් සදාකාලික  නොවේ. බුදුවරයෝ ඒ  ප්‍රපංච (පමාවීම්) නැත්තෝ ය."
255,Malavagga Impurity,"Ákáse padaí natthi,  samaóo natthi báhire, saòkhárá sassatá natthi,  natthi Buddhánam iñjitaí.","ආකාසෙ පදං නත‍ථී
සමණො නත‍ථී බාහිරෙ
සංඛාරා සස්සතා නත‍්ථී,
නත‍්ථී බුද්ධානමිඤජිතං.","There is no track in the s ky, and no recluse outside (the","අහසෙහි පියවර නැත.
පිටත පෙනුමෙන් (හිස මුඩු කොට, සිවුරු ඇඳි පමණින්)
යමෙකු ශ්‍රමණයෙකු නොවේ.
සංඛත කිසිදු  ධර්මයක් සදාකාලික  නොවේ.
බුදුවරයෝ ඒ තෘෂ්ණා මාන ආදී ප්‍රපංච (පමාවීම්) නැත්තෝ ය."
256,Malavagga Impurity,"Na tena hoti dhammaþþho  yen’atthaí sahasá naye, yo ca atthaí anatthañ ca  ubho niccheyya paóðito—","න තේන හෝති ධම්මට්ඨෝ
යේන ත්ථං සහසා න යෙ
යෝච අත්ථං අනත්ථං ච
උභෝ නිච්ඡෙය්‍ය පණ්ඩිතො.","256–257. Not by passing arbitrary judgements does one become just; a wise person who investigates both right and wrong, who does not judge others arbitrarily but passes judgement impartially according to truth, a sagacious guardian of the law, is called just. 1–2",විනිශ්චයකරුවා තර්කානුකූල විසඳූ පමණින් ඔහු ගේ තීරණය සාධාරණ නොවේ. දෙපසම කීම් එකසේ සලකා විසඳීම සාධාරණ වේ.
